0 1 30,46309 22,83365 23,42869
0 2 275,2353 46,09829 97,47113
0 3 30,06659 96,34019 91,78991
0 4 232,8605 174,5031 174,6061
0 5 366,2922 134,7813 134,2273
0 6 328,1285 142,3671 111,3165
0 7 150,0533 177,7688 178,1159
1 0 30,46309 -158,1986 -155,0952
1 2 262,946 111,1027 105,0021
1 3 43,38202 154,5367 153,435
1 4 277,1807 179,8935 177,3894
1 5 382,4788 140,4206 140,9425
1 6 328,6944 119,3856 119,8311
1 7 192,0104 -177,0793 -179,4029
2 0 274,1423 -83,20617 -85,20174
2 1 265,8195 -74,78204 -76,06831
2 3 234,8531 -82,81573 -85,63843
2 4 329,0836 -129,5597 -130,5635
2 5 222,2251 -176,7509 -177,4209
2 6 91,18114 161,9277 158,4287
2 7 295,2966 -111,1945 -114,8244
3 0 30 -86,82017 -88,21009
3 1 44,38468 -25,46334 -23,19859
3 2 244,4954 96,65443 96,34019
3 4 227,1783 -176,8603 -177,7295
3 5 339,7057 138,5468 137,386
3 6 298,9314 114,5074 114,5074
3 7 154,5574 -168,5461 -169,5625
4 0 246,8117 -6,182916 -4,416501
4 1 280,1445 -3,215463 -1,187786
4 2 328,1616 50,44034 50,44034
4 3 242,5387 -134,5067 4,051686
4 5 232,3101 94,80348 92,93568
4 6 302,8006 133,0002 66,52179
4 7 81,21576 -12,09476 -9,926244
5 0 366,2939 -57,85381 -45,311
5 1 386,5566 -39,5794 -39,33112
5 2 219,5132 -8,738758 3,913015
5 3 338,5881 -33,09426 -41,61096
5 4 235,6141 -84,71876 -86,37852
5 6 130,384 18,43495 20,91255
5 7 271,4295 -68,16016 -69,83739
6 0 343,1851 -67,43299 -69,09377
6 1 338,0089 -60,38206 -60,71582
6 2 98,67895 -14,19866 -18,60912
6 3 307,7824 -65,23827 -67,09423
6 4 308,8814 124,4272 -110,8448
6 5 139,1514 -164,9816 -161,1431
6 7 312,1698 -95,67302 -94,76364
7 0 150,0133 -2,231164 -1,130731
7 1 193,4373 2,950814 3,814029
7 2 299,6431 64,9831 66,85154
7 3 154,5703 -16,0286 12,72397
7 4 83,54639 168,9591 167,9052
7 5 276,3187 112,1095 111,9544
7 6 308,2399 -76,80595 84,71802
