0 1 322,2335 30,45298 37,71068
0 2 217,2786 95,47737 92,62641
0 3 364,56 53,74616 54,82772
0 4 314,2282 10,30265 10,68561
0 5 63,00793 34,59229 34,9194
0 6 180,0056 83,94101 83,65981
0 7 289,7206 19,65383 19,5607
0 8 365,4094 60,4885 60,64225
0 9 77,66595 104,3814 101,5922
0 10 240,8817 28,61046 29,33184
0 11 75,00667 0 0,7441474
0 12 267,2265 20,91883 21,40518
0 13 166,355 69,64166 70,48412
0 14 173,1416 63,43495 65,06307
1 0 317,1908 -142,1863 -141,3966
1 2 268,7452 176,3218 175,3071
1 3 107,7033 111,8014 111,8014
1 4 151,7959 -66,30579 -66,80141
1 5 248,3949 -141,0256 -140,224
1 6 231,7801 -175,2363 -175,2979
1 7 97,62172 -78,46538 -83,65981
1 8 140,9823 124,1359 121,2392
1 9 295,9763 -156,8014 -156,293
1 10 81,59657 -116,2742 -109,7468
1 11 258,2596 -131,9713 -130,3141
1 12 90 -90 -90
1 13 195,7243 -168,5788 -168,9174
1 14 181,2457 -167,4712 -167,5741
2 0 216,1481 -84,75818 -87,89835
2 1 278,5821 -3,704648 -4,085619
2 3 251,0856 18,57928 18,43495
2 4 369,9678 -20,16841 -25,343
2 5 192,5669 -66,03751 -68,36435
2 6 52,34501 -45 -46,50743
2 7 313,6447 -10,25118 -22,28138
2 8 214,2942 26,79608 27,8697
2 9 140 -90 -90
2 10 260,5657 -16,10354 -22,72146
2 11 237,154 -65,55605 -67,43589
2 12 298,8545 -22,9993 -23,2485
2 13 89,4986 -36,63411 -39,72611
2 14 102,6255 -30,6186 -33,38852
3 0 366,0069 -113,2712 -126,5449
3 1 103,1213 -68,80595 -69,50741
3 2 251,0976 -161,565 -162,1423
3 4 251,8492 -67,09136 -67,3976
3 5 302,5359 -121,3496 -121,7441
3 6 233,2381 -149,0362 -149,0362
3 7 199,3239 -73,1416 -73,5462
3 8 31,62278 154,6538 159,444
3 9 318,7287 -137,7501 -138,0394
3 10 167,0269 -89,67992 -89,31794
3 11 324,7772 -109,7755 -115,1518
3 12 191,4158 -79,13594 -78,69007
3 13 203,1994 -138,8655 -140,5149
3 14 186,7649 -107,9288 -137,2099
4 0 323,6109 -169,3151 -169,3803
4 1 148,1418 112,9993 114,5074
4 2 374,9187 155,0754 154,7989
4 3 259,2509 105,5728 112,6744
4 5 261,553 -175,3646 -176,5054
4 6 322,0994 158,2978 159,5476
