0 1 15,0333 0 3,366448
0 2 30 -1,468737 1,847585
0 3 60 0 0
0 4 75,00667 0 0,7441474
0 5 88 0 0
0 6 114 0 0
0 7 136,0147 0,4125943 0,4182466
0 8 155,029 0,7255072 0,365305
0 9 179,0028 0,3202056 0
0 10 191,0026 0 0,3006659
0 11 208 0 0
0 12 234,0085 0,477244 0
0 13 248 0 0
0 14 276,0072 0,2055842 0,2065338
0 15 294 0 0
0 16 308 0 0
0 17 338 0 0
0 18 85,77863 2,818834 56,13598
0 19 100,5297 0,8645667 23,0467
0 20 145,5266 1,627866 55,83828
0 21 151,0294 1,570473 25,91653
0 22 174,999 1,574455 14,70899
0 23 193,3727 1,574455 11,31237
0 24 212,9558 1,482397 8,536055
0 25 239,9212 2,51139 7,230689
0 26 256,8396 1,332955 5,941352
0 27 274,6213 2,585356 5,234839
0 28 295,7685 -10,32786 4,60228
0 29 308,6799 1,786189 4,13228
0 30 338,623 1,92661 3,779941
0 31 170,6513 2,000174 175,305
0 32 157,0889 0,7641266 172,6905
0 33 125,2684 4,603684 171,2767
0 34 104,3021 2,447366 143,0905
0 35 99,3739 2,045262 77,64264
0 36 109,197 2,045262 46,10629
0 37 162,3862 1,118726 79,1422
0 38 168,7002 1,581277 47,97303
0 39 178,056 0,3805216 32,11348
0 40 197,5578 1,796785 25,24248
0 41 236,9133 0,6049027 50,88231
0 42 258,0246 2,381459 23,33275
0 43 279,1888 2,361237 14,95787
0 44 293,3208 -2,669465 11,1707
0 45 337,1989 1,891034 54,99409
0 46 180,1431 2,88018 122,3012
0 47 118,6803 2,447366 83,62992
0 48 121,5867 2,447366 60,97379
0 49 178,4961 1,207232 83,24323
0 50 181,8765 -3,62855 63,30598
0 51 199,8399 1,067346 48,85983
0 52 214,2829 1,067346 38,47653
0 53 267,1096 2,426322 79,46562
0 54 276,5881 2,447047 48,38902
0 55 289,6191 2,447047 32,20408
0 56 295,4736 1,981891 24,33593
0 57 317,6351 -2,669465 20,09768
0 58 344,471 2,361237 12,59288
0 59 200,6235 0,7641266 101,8071
0 60 181,7001 4,482269 172,9001
0 61 157,9263 4,482269 167,6374
0 62 146,3479 2,045262 144,1547
0 63 148,3865 0,7641266 86,61835
0 64 151,865 0,7641266 71,61581
0 65 204,8019 0,8303944 85,35589
0 66 200,8838 0,6723125 70,32695
0 67 212,7408 0,4039677 56,56235
0 68 222,445 0,8137322 46,27704
0 69 317,1696 2,361237 49,55303
0 70 355,8219 2,361237 61,09089
0 71 209,3738 2,447366 161,3759
0 72 198,4587 0,8645667 154,6438
0 73 182,631 0,8645667 132,5885
0 74 153,8061 4,482269 86,34937
0 75 162,512 2,045262 73,39999
0 76 226,3314 1,591147 86,66613
0 77 228,5072 1,591147 73,81141
0 78 233,8754 -11,13915 63,356
0 79 240,9633 0 53,87995
0 80 247,4968 0,3805216 45,7608
0 81 275,1949 1,067346 11,53106
0 82 345,2415 1,727937 140,0107
0 83 334,5992 1,961143 78,35435
0 84 341,0977 2,059186 30,21723
0 85 362,8386 1,981891 77,98102
0 86 226,8403 0,7641266 145,144
0 87 197,849 4,482269 133,8492
0 88 189,7354 4,482269 99,39319
0 89 176,2547 2,447366 87,15556
0 90 180,6161 2,447366 76,79352
0 91 342,6529 4,482269 -79,62167
0 92 244,7917 -11,13915 76,97749
0 93 242,3132 1,194357 67,32047
0 94 262,6711 -0,2220564 60,00989
0 95 267,5971 0,4039677 52,05454
0 96 277,9456 0,6723125 44,92947
0 97 363,1499 2,212047 115,1639
0 98 359,079 2,489629 83,60156
0 99 373,9116 1,961143 61,09259
0 100 226,4605 4,482269 133,5242
0 101 219,8055 2,045262 117,9341
0 102 213,7849 2,447366 95,17989
0 103 320,2548 4,482269 -55,41039
0 104 261,2083 0,4039677 79,06101
0 105 272,4044 0 71,15385
0 106 269,8925 1,101806 63,18117
0 107 281,2486 1,101806 56,55298
0 108 290,2774 1,194357 50,82751
0 109 371,8103 1,632188 105,3419
0 110 380,9072 2,212047 85,47388
0 111 387,2686 1,727937 35,08796
0 112 397,289 2,059186 7,862322
0 113 258,2695 0,7641266 124,7858
0 114 242,7929 0,8645667 110,4612
0 115 232,7119 2,045262 94,8559
0 116 246,4415 0,8645667 42,57899
0 117 258,8046 2,045262 11,88906
0 118 275,1897 4,482269 6,95384
0 119 303,3231 0,8645667 4,459093
0 120 312,4194 4,482269 3,759788
0 121 394,7704 2,399309 100,8151
0 122 395,7487 2,361237 86,48702
0 123 396,5592 2,348687 68,1364
0 124 405,3727 2,059186 38,0737
